,Общая,Этаж,Срок сдачи,Тип жилья,Цена,Комнат,Район,Линк,Жилая,Кухня,Санузел,Балкон/лоджия,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Высота потолков,Построен,Ремонт,Вид из окон,Планировка,Отделка
112,43,1,,Вторичка,1700000,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/245804136/,25,6,1 совмещенный,,,"2,55 м",,,,,
113,50,4,,Вторичка,1760000,2-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/238703346/,29,7,1 раздельный,1 балкон,,"2,8 м",,,,,
114,40,1,,Вторичка,1870000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/243668963/,28,5,1 совмещенный,,,,,,,,
115,41,1,,Вторичка,1900000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/244358332/,25,7,1 совмещенный,,,,,,,,
116,88,16,4,Новостройка,3964500,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/242090522/,,,,,,,,,,,
117,70,10,,Вторичка,4000000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/235297475/,41,10,1 раздельный,1 лоджия,,"2,75 м",,,,,
118,41,3,,Вторичка,1360000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/244690299/,28,6,1 совмещенный,1 балкон,,"2,55 м",,,,,
119,59,1,2,Новостройка,2965500,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/242068895/,,,,,,,,,,,
120,56,8,,Вторичка,3190000,2-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/245432155/,31,9,1 раздельный,"1 балкон, 1 лоджия",,"2,75 м",,,,,
121,53,6,,Вторичка,3070000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/243453789/,31,8,1 совмещенный,1 лоджия,,"2,75 м",,,,,
122,89,13,4,Новостройка,4023000,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/242090526/,,,,,,,,,,,
123,102,10,4,Новостройка,5118500,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/239688918/,36,33,1 раздельный,1 лоджия,18.88-17.17 м²,,,,,,
124,47,2,,Вторичка,3142000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/237117246/,32,4,1 раздельный,1 лоджия,17.5-14.9 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
125,50,5,,Вторичка,3153000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236613350/,35,5,1 раздельный,1 лоджия,22.5-12.7 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
126,47,2,,Вторичка,3136000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236613356/,32,4,1 раздельный,1 лоджия,17.5-14.9 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
127,75,11,,Вторичка,4724000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236613381/,36,15,1 раздельный,1 лоджия,12-24.2 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
128,50,8,,Вторичка,3147000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236395671/,35,5,1 раздельный,1 лоджия,22.5-12.7 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
129,75,14,,Вторичка,4686000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236325606/,36,15,1 раздельный,1 лоджия,12-24.2 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
130,47,2,,Вторичка,3136000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/246737058/,32,4,1 раздельный,1 лоджия,17.5-14.9 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
131,50,8,,Вторичка,3147000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/246737036/,35,5,1 раздельный,1 лоджия,22.5-12.7 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
132,50,5,,Вторичка,3153000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/246737050/,35,5,1 раздельный,1 лоджия,22.5-12.7 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
133,51,12,,Вторичка,3195000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/246737076/,32,4,1 раздельный,1 лоджия,17.5-14.9 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
134,51,11,,Вторичка,3214000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/246737089/,32,4,1 раздельный,1 лоджия,17.5-14.9 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
135,52,3,,Вторичка,3227000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/246737025/,35,5,1 раздельный,1 лоджия,22.5-12.7 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
136,51,9,,Вторичка,3214000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/246737083/,32,4,1 раздельный,1 лоджия,17.5-14.9 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
137,51,12,,Вторичка,3195000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236613368/,32,4,1 раздельный,1 лоджия,17.5-14.9 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
138,75,9,,Вторичка,4692000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236404840/,36,15,1 раздельный,1 лоджия,12-24.2 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
139,51,13,,Вторичка,3221000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/237117250/,35,5,1 раздельный,1 лоджия,22.5-12.7 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
140,51,11,,Вторичка,3214000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236579564/,32,4,1 раздельный,1 лоджия,17.5-14.9 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
141,51,9,,Вторичка,3214000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236613371/,32,4,1 раздельный,1 лоджия,17.5-14.9 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
142,51,9,,Вторичка,3214000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/243283018/,35,5,1 раздельный,1 лоджия,22.5-12.7 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
143,51,14,,Вторичка,3214000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236613374/,32,4,1 раздельный,1 лоджия,17.5-14.9 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
144,51,15,,Вторичка,3221000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/237117257/,35,5,1 раздельный,1 лоджия,22.5-12.7 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
145,52,3,,Вторичка,3227000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236613345/,35,5,1 раздельный,1 лоджия,22.5-12.7 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
146,75,9,,Вторичка,4692000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/246737055/,36,15,1 раздельный,1 лоджия,12-24.2 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
147,75,14,,Вторичка,4686000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/246737032/,36,15,1 раздельный,1 лоджия,12-24.2 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
148,75,13,,Вторичка,4705000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236613377/,36,15,1 раздельный,1 лоджия,12-24.2 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
149,75,11,,Вторичка,4730780,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236613387/,36,15,1 раздельный,1 лоджия,12-24.2 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
150,75,6,,Вторичка,4724420,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236579569/,36,15,1 раздельный,1 лоджия,12-24.2 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
151,75,4,,Вторичка,4718000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/237117294/,36,15,1 раздельный,1 лоджия,12-24.2 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
152,75,8,,Вторичка,4705000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/236579565/,36,15,1 раздельный,1 лоджия,12-24.2 м²,"2,7 м",2019,Без ремонта,На улицу,Изолированная,
153,62,9,,Вторичка,3200000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/246776428/,30,9,1 совмещенный,1 балкон,14-16 м²,,2012,Евроремонт,Во двор,Изолированная,
