,Общая,Жилая,Этаж,Тип жилья,Высота потолков,Санузел,Балкон/лоджия,Цена,Комнат,Район,Линк,Кухня,Срок сдачи,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Построен,Ремонт,Вид из окон,Отделка
839,25,14,2,Вторичка,,1 совмещенный,,1300000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/235384276/,5,,,,,,
840,31,18,5,Вторичка,"2,55 м",1 совмещенный,,1300000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/238256753/,6,,,,,,
841,30,18,2,Вторичка,"2,55 м",1 совмещенный,1 балкон,1300000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/244828626/,6,,,,,,
842,31,18,3,Вторичка,"2,55 м",1 совмещенный,1 балкон,1300000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/241072935/,6,,,,Косметический,,
843,32,17,4,Вторичка,"2,55 м",1 совмещенный,1 балкон,1310000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/227072696/,6,,,,,,
844,28,18,2,Вторичка,"2,55 м",1 совмещенный,,1300000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/230707505/,6,,,,,,
845,37,18,5,Вторичка,,,,1300000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/232397217/,9,,,,Без ремонта,,
846,32,18,4,Вторичка,"2,5 м",1 совмещенный,,1300000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/220241445/,6,,18 м²,,,Во двор,
847,30,17,3,Вторичка,"2,5 м",,1 балкон,1360000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/246132031/,6,,,,,На улицу и двор,
848,30,17,2,Вторичка,"2,55 м",1 совмещенный,1 балкон,1360000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/242006258/,6,,,,Косметический,,
849,32,18,4,Вторичка,"2,6 м",1 совмещенный,1 балкон,1360000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/238793048/,6,,,,,,
850,31,18,4,Вторичка,"2,55 м",1 совмещенный,1 балкон,1370000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/240174521/,6,,,,,,
851,24,15,1,Вторичка,,1 совмещенный,,1350000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/245432168/,5,,,,,,
852,29,17,2,Вторичка,"2,6 м",1 совмещенный,1 балкон,1350000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/245055300/,6,,,,,,
853,30,18,4,,,,,1360000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/246597441/,6,,,,,,
854,31,16,5,Вторичка,,,,1350000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/245042240/,6,,,,,,
855,29,16,4,Вторичка,,1 совмещенный,1 балкон,1370000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/235817733/,6,,,,,,
856,32,18,2,Вторичка,,1 совмещенный,,1370000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/228038498/,5,,,,,,
857,31,17,5,Вторичка,"2,55 м",1 совмещенный,1 балкон,1370000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/243140902/,5,,,,,,
858,30,18,1,Вторичка,"2,55 м",1 совмещенный,,1350000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/238379994/,6,,,,,,
859,29,18,1,Вторичка,"2,55 м",1 совмещенный,,1370000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/235442332/,6,,,,,,
860,30,18,2,Вторичка,"2,55 м",1 совмещенный,1 балкон,1350000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/241994336/,6,,18.2 м²,1959,,На улицу,
861,27,15,1,Вторичка,,1 совмещенный,,1370000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/241838830/,6,,,,Евроремонт,На улицу и двор,
862,27,14,1,Вторичка,,1 совмещенный,,1360000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/236569706/,6,,,,Косметический,Во двор,
863,32,18,2,Вторичка,"2,5 м",1 совмещенный,1 балкон,1350000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/242156238/,6,,,1966,Косметический,Во двор,
864,32,18,5,Вторичка,,1 совмещенный,1 балкон,1370000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/240535568/,6,,18 м²,1962,Косметический,На улицу,
865,31,18,1,Вторичка,,1 совмещенный,,1380000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/220646174/,6,,"18,3 м²",1966,Без ремонта,Во двор,
866,30,16,3,Вторичка,"2,54 м",,,1410000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/223168923/,6,,"16,7 м²",1969,Косметический,Во двор,
867,30,,5,Вторичка,,1 раздельный,,1410000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/246657543/,,,,1966,Косметический,,
868,30,18,2,Вторичка,,,1 лоджия,1430000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/238954956/,6,,,,,Во двор,
