,Общая,Жилая,Кухня,Этаж,Срок сдачи,Тип жилья,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Санузел,Балкон/лоджия,Цена,Комнат,Район,Высота потолков,Построен,Планировка,Ремонт,Вид из окон,Отделка,Линк
1345,56,40.0,7.0,4,,Вторичка,,1 раздельный,"1 балкон, 1 лоджия",2860000,3-комн.,р-н Красноармейский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/241756382/
1346,62,38.0,6.0,2,,Вторичка,,1 совмещенный,,2870000,3-комн.,р-н Краснооктябрьский,,,,,,,https://volgograd.cian.ru/sale/flat/236244684/
1347,65,40.0,11.0,3,,Вторичка,17-12.7-11 м²,1 раздельный,2 лоджии,2850000,3-комн.,р-н Кировский,,,Изолированная,Косметический,,,https://volgograd.cian.ru/sale/flat/239742320/
1348,60,37.0,8.0,9,,Вторичка,,1 раздельный,1 балкон,2890000,3-комн.,р-н Дзержинский,,,,Без ремонта,На улицу и двор,,https://volgograd.cian.ru/sale/flat/245042313/
1349,70,47.0,7.0,2,,Вторичка,,,1 балкон,2850000,3-комн.,р-н Тракторозаводский,,,,Косметический,Во двор,,https://volgograd.cian.ru/sale/flat/236674380/
1350,55,38.0,7.0,1,,Вторичка,,1 раздельный,1 лоджия,2850000,3-комн.,р-н Ворошиловский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/238769939/
1351,61,48.0,6.0,2,,Вторичка,,1 раздельный,,2870000,3-комн.,р-н Кировский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/238640822/
1352,60,42.0,7.0,4,,Вторичка,,1 раздельный,1 балкон,2860000,3-комн.,р-н Центральный,"2,7 м",,,Без ремонта,Во двор,,https://volgograd.cian.ru/sale/flat/228731995/
1353,64,46.0,6.0,1,,Вторичка,22-14-10 м²,1 совмещенный,,2870000,3-комн.,р-н Советский,"2,75 м",1975.0,Изолированная,,Во двор,,https://volgograd.cian.ru/sale/flat/226224231/
1354,64,42.0,8.0,5,,Вторичка,,1 раздельный,1 лоджия,2850000,3-комн.,р-н Красноармейский,,1987.0,,Евроремонт,На улицу и двор,,https://volgograd.cian.ru/sale/flat/244242656/
1355,62,44.0,8.0,10,,Вторичка,,,,2900000,3-комн.,р-н Дзержинский,,,,Косметический,,,https://volgograd.cian.ru/sale/flat/236321514/
1356,59,37.0,6.0,2,,Вторичка,,1 совмещенный,,2900000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/245490339/
1357,58,38.0,7.0,8,,Вторичка,,1 раздельный,1 балкон,2900000,3-комн.,р-н Центральный,"2,5 м",1973.0,,Без ремонта,На улицу и двор,,https://volgograd.cian.ru/sale/flat/228733069/
1358,63,46.0,6.0,4,,Вторичка,,1 совмещенный,,2900000,3-комн.,р-н Центральный,,,,,,,https://volgograd.cian.ru/sale/flat/243607359/
1359,84,56.0,8.0,1,,Вторичка,,1 раздельный,,2900000,3-комн.,р-н Ворошиловский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/245335930/
1360,53,36.0,7.0,4,,Вторичка,,1 раздельный,,2940000,3-комн.,р-н Ворошиловский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/245063862/
1361,62,44.0,9.0,10,,Вторичка,,1 раздельный,2 балкона,2900000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/246062878/
1362,61,40.0,11.0,2,,Вторичка,,1 совмещенный,1 балкон,2900000,3-комн.,р-н Красноармейский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/236939927/
1363,60,,,2,,Вторичка,,1 совмещенный,1 балкон,2900000,3-комн.,р-н Ворошиловский,"2,54 м",1962.0,Смежно-изолированная,Косметический,Во двор,,https://volgograd.cian.ru/sale/flat/238552890/
1364,61,39.0,8.0,2,,Вторичка,,,2 лоджии,2990000,3-комн.,р-н Тракторозаводский,,,,Косметический,Во двор,,https://volgograd.cian.ru/sale/flat/245118631/
1365,60,40.0,8.0,3,,Вторичка,,1 раздельный,1 лоджия,2990000,3-комн.,р-н Дзержинский,,,Изолированная,Евроремонт,На улицу и двор,,https://volgograd.cian.ru/sale/flat/244964575/
1366,65,41.0,8.0,9,,Вторичка,16.9-13.2-11 м²,1 раздельный,2 лоджии,2999000,3-комн.,р-н Тракторозаводский,"2,6 м",,Изолированная,Евроремонт,На улицу и двор,,https://volgograd.cian.ru/sale/flat/237255783/
1367,55,35.0,6.0,4,,Вторичка,17-13-5.6 м²,1 раздельный,2 балкона,2950000,3-комн.,р-н Ворошиловский,,,Изолированная,Косметический,Во двор,,https://volgograd.cian.ru/sale/flat/245598712/
1368,75,50.0,6.0,3,,Вторичка,,,1 балкон,2960000,3-комн.,р-н Советский,,,Изолированная,,Во двор,,https://volgograd.cian.ru/sale/flat/242051487/
1369,64,41.0,9.0,1,,Вторичка,,1 раздельный,,2960000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/228790757/
